Comentario,Aspecto,Polaridad
la estructura presentada es adecuada la relacion entre los actores y los casos de uso es bastante adecuada,estructura,2
los actores descritos en el diagrama de casos de uso son los adecuados y necesarios para el sistema,actores,2
la funcionalidad descrita no es nada adecuada generaliza muchos casos de uso algunos casos de uso no estan completos la sintaxis utilizada es adecuada faltan casos de uso que especifiquen mejor la funcionalidad,funcionalidad,0
la comunicacion entre actores y casos de uso es adecuada la herencia aplicada es correcta el uso del extend e include son bastante adecuados,comunicacion,2
la estructura del diagrama no tiene errores a cada actor le corresponden los casos de uso pertinentes segun lo que se detallo en los requerimientos,estructura,2
el diagrama cuenta con todos los actores necesarios y que son posibles de identificar en los requerimientos del sistema todos los actores se encuentran bien definidos y etiquetados,diagrama,2
la funcionalidad descrita se cumple casi en su totalidad la sintaxis en todos los casos de uso es correcta faltan algunos casos de uso como por ejemplo generar reportes,funcionalidad,1
los include extends y herencia se emplean de manera correcta en todos los casos de uso,include,2
la estructura esta bien elaborada debido a que contiene los actores con los casos de usos relacionados sin embargo le falta llevar un orden para que sea mas facil la comprension del caso de uso,estructura,1
el diagrama pose los  actores que van a manipular el sistema,diagrama,2
la funcionalidad del diagrama esta bien definida con la numeracion y los nombre de los casos de uso sin embargo hay funcionalidades que no estan bien,funcionalidad,1
el diagrama pose herencia  include y extend sin embargo el extend no esta correcto debido a las direccion de las flechas,diagrama,1
la estructura es correcta tienen los actores involucrados y los casos de uso estructurados,estructura,2
los actores y sus posiciones son correctas pero existen herencias inadecuadas dentro del sistema,actores,1
los casos de usos estan en correcto orden su estructura es correcta contiene verbo  infinitivo pero los casos de usos asignados a los usuarios sus diferentes a los solicitados por el sistema,casos,1
se colocaron include extend y herencias en sitios sumamente incorrectos la herencia entre actores no esta bien aplicada y los extend no tienen sentido alguno,include,0
la estructura es correcta involucra los actores relacionados con el caso de uso,estructura,2
los actores en el diagrama estan bien especificados y son necesarios en el sistema,actores,2
la funcionalidad medianamente correcta la sintaxis es adecuada aplicando la numeracion ordenada los casos de uso estan completos,funcionalidad,2
utilizan los extend e include no tan correctos la herencia la aplican correctamente,extend,1
tiene la estructura adecuada bien relacionados y cada actor esta bien involucrado,estructura,2
estan todos relacionados y estan los  que se entienden en las especificaciones,especificaciones,2
estan de forma ordenadas cada cu enumerado de secuencia correcta y cumple con los verbos en infinitivos,forma,2
los include y extends estan bien ubicados y direccionados,include,2
la estructura tiene todos los elementos,estructura,2
me parece correcto tiene los actores necesarios,actores,2
numeracion de casos de uso desordenados la funcionalidad del paciente no esta bien,numeracion,0
la herencia es incorrecta,herencia,0
la relacion entre los actores y las funcionalidades del sistema si estan correctas cada actor cumple unicamente con el rol que esta especificado en los requerimientos del sistema no obstante existen algunos casos de uso que a criterio personal no estan del todo correctos y faltarian unos casos de uso para completar con todas las funcionalidades que el sistema requiere,relacion,1
los actores que estan especificados en el diagrama de casos de uso son los adecuados para cumplir con todos los requerimientos establecidos,actores,2
los casos de uso establecidos en el diagrama de casos de uso estan correctos cada uno cumple con lo que el sistema necesita tener implementado pero faltan quizas uno que otro caso de uso como es el caso de registrar paciente ya que no hay ningun caso de uso que haga dicho procedimiento,casos,1
la herencia entre administrativo y paciente esta incorrecta ya que como esta especificado en el diagrama de casos de uso indica que el administrativo hereda las funcionalidades del paciente y en realidad deberia ser lo contrario ya que quien tiene la funcionalidad de solicitar cita es el administrativo y no el paciente la relacion de extend entre los casos de uso asignar especialista y registrar historial no es correcta de la misma forma la relacion que hay entre los casos de uso consultar cita y registrar historial,herencia,0
la estructura es correcta cumple con todo lo requerido,estructura,2
los actores estan bien definidos y son necesarios para el sistema,actores,2
algunas funcionalidades descritas no son correctas,funcionalidades,0
la utilizacion de extends esta de forma correcta la utilizacion de los include estan de forma correcta la utilizacion de la herencia en algunos casos no es la correcta,extends,1
en el diagrama estan  actores pero no todos tienen casos de usos,diagrama,1
los actores estan bien especificados y si son necesarios en el sistema,actores,2
faltan algunos casos de usos como registrar paciente registrar diagnostico consultar diagnostico,casos,0
la herencia no esta bien realizada ya que el administrativo hereda lo que hace el paciente pero este no tiene ningun caso de uso y lo que esta haciendo el administrativo deberia hacerlo el paciente tambien el caso de uso realizar operacion tiene q tener un include hacia consultar paciente,herencia,0
los actores involucrados y los casos de usos estan bien estructurados,actores,2
todos los actores colocados son necesitados en el sistema y estan correctos,actores,2
faltan varios casos de usos en el sistema como registrar diagnostico consultar diagnostico entre otros el caso de uso cu no se entiende el objeto o esta mal hecho,casos,0
esta mal hecha la herencia y no se entiende el proceso de la comunicacion entre los casos de usos y algunos actores tampoco existe una relacion del caso de uso cu con el cu ya que ambos estan ligados en una operacion,mal,0
todos los actores y caso de uso estan correctamente relacionados,actores,2
los actores estan correctamente plasmados y son necesarios en el sistema,actores,2
la funcionalidad descrita no esta del todo correcta ya que para poder registrar historial debera de que paciente lo esta haciendo faltan casos de uso como para asignar el tratamiento y para realizar el diagnostico entre otros,funcionalidad,1
el paciente no hereda del administrativo solo el especialista del medico que si lo muestra correctamente,paciente,0
le falta la relacion del actor paciente con el caso de uso solicitar cita,relacion,0
todos los actores involucrados en el diagrama son necesarios para el funcionamiento del sistema,actores,2
falta algunos caos de usos por ejemplo uno donde se involucre el tratamiento asignado al paciente,caos,0
la fecha de herencia de medico a especialista esta mal ademas no deberia existir herencia entre administrativo con el paciente,fecha,0
si comprende el diseno con los actores y relacionado los casos de usos,diseno,2
se encuentran todos los actores que intervienen en el sistema,actores,2
algunos casos de uso no tienen el funcionamientos correcto como el caso de uso realizar operacion el cu no tiene el objeto correcto y faltan algunos casos de usos,casos,0
no existe la comunicacion correcta y tambien esta mal realizada la herencia,comunicacion,0
la estructura es correcta en su mayoria con actores involucrados y caso de uso relacionado,estructura,2
los actores estan bien especificados y son necesarios en el sistema,actores,2
la funcionalidad descrita es parcialmente correcta en su mayoria,funcionalidad,1
no se utiliza el extend y el include de forma correcta existe una herencia entre paciente y administrativo que no deberia ir,extend,0
existen todos los actores y casos de uso requeridos,actores,2
los actores estan bien especificados y son requeridos por el sistema,actores,2
algunos casos de uso tienen nombres muy parecidos como para diferenciarse,casos,1
buen uso de include extend y herencia,uso,2
la estructura es bastante adecuada a lo requerido,estructura,2
los actores son totalmente necesarios en el sistema,actores,2
la sintaxis no es correcta en dos casos de uso por la entidad medico que no es adecuada,sintaxis,0
se aplica include y extend de manera totalmente adecuada en el diagrama,include,2
la estructura no tiene errores,estructura,2
los actores estan bien especificados y cumplen con las necesidades del sistema,actores,2
la funcionalidad le falta estructurarse bien faltan casos de usos pero cumplen con la estructura adecuada y la sintaxis es correcta,funcionalidad,1
el uso del extend y el include es correcto pero la herencia aplicada no es correcta,uso,1
la estructura no tiene errores,estructura,2
los actores son correctos,actores,2
la sintaxis no es correcta en dos casos de uso,sintaxis,0
la aplicacion de extend include y herencia son correctas,aplicacion,2
presenta una estructura correcta sin embargo se puede apreciar casos de uso aislados que no deberian estar asi,estructura,1
cuenta con la cantidad de actores necesarios no obstante sus nombres no especifican del todo bien al actor,cantidad,1
la funcionalidad cuenta con todo lo mencionado en los requerimientos pero su funcionamiento en general no plasma lo que se menciona en los requerimientos la sintaxis presentada cumple con lo establecido todos los casos de uso estan presentes,funcionalidad,1
el extend include y herencia en la mayoria de los casos de uso esta de forma correcta pero la manera de emplearlas no se justifica a lo presentado en los requerimientos,extend,1
la estructura es correcta cumple con todo lo necesario ya que los actores y casos de usos bien relacionados,estructura,2
los actores representados en el diagrama estan bien especificados y son diferenciables cada uno de los actores es necesario y requerido por el ejercicio,actores,2
la funcionalidad que se describe no es correcta ya que se puede denotar casos de usos con tendencia de isla como es pasa en el caso de uso cu registrar datos otros casos de uso no estan bien definidos debido a que su funcionamiento no esta bien planteada en el diagrama la sintaxis es adecuada ya que sigue una numeracion ordenada entre los casos de uso usa verbos en infinitivo al cual se le asocia un objeto,funcionalidad,0
el uso de la herencia esta bien planteado y ejecutado por otro lado los estereotipos extend no son del todo correcto su uso los includes son correctos,uso,1
la estructura es correcta pero los casos de uso relacionados no son correctos del todo,estructura,1
los actores identificados son los correctos,actores,2
la funcionalidad deja mucho que desear la sintaxis es correcta,funcionalidad,0
se utiliza extends e include de manera no apropiada,extends,0
la estructura fue realizada de manera correcta ya que se hizo buen uso de los actores y casos de uso,estructura,2
los actores son correctos aunque uno cuenta con un nombre poco representativo como en los requerimientos,actores,1
la funcionalidad no es la correcta porque no representa a los requerimientos como debe la sintaxis esta adecuada con todos los casos de uso,funcionalidad,0
el extend include y herencia estan utilizados de manera correcta pero segun los requerimientos no permitirian hacer los procesos del sistema de manera correcta,extend,1
los actores conectan de forma correcta con los casos de uso pero existe una isla en los casos de uso realizados por el paciente,actores,1
los actores estan bien especificados y son necesarios en el sistema para cumplir con los requisitos del sistema,actores,2
la funcionalidad que describen los casos de uso es la correcta segun los requerimientos la numeracion de los casos de uso no es correcta porque hay casos de uso que invocan a un caso de uso que tienen un numero superior el nombre de los casos de uso es correcto,funcionalidad,1
el uso del extend e include es correcto segun los requerimientos,uso,2
la estructura esta correcta,estructura,2
el diagrama posee todos los actores requeridos por el sistema,diagrama,2
la funcionalidad es correcta la sintaxis es adecuada pero cambia el nombre de un mismo objeto en dos casos de uso,funcionalidad,1
uso innecesario de include existen casos de uso que no estan refiriendo a ningun actor,uso,0
todos los actores estan relacionados con algun caso de uso y las conexiones son correctas,actores,2
todos los actores son necesarios en el sistema segun lo indica la problematica planteada,actores,2
la funcionalidad descrita es la adecuada la sintaxis usada es correcta todos los casos de uso estan completos la numeracion en orden de prioridad no es la correcta,funcionalidad,1
existe un error el cual no utiliza la herencia que desde especialista hacia medico cabecera,error,0
los actores conectan de forma correcta con los casos de uso,actores,2
cuenta con los actores que son necesarios en el sistema,actores,2
cuenta con una sintaxis adecuada pero no cuenta con la numeracion lo cual hace imposible saber si estan adecuados o no tiene los casos de uso completos,sintaxis,1
los includes y extend estan aplicados de manera correcta,includes,2
la estructura no esta bien relacionada por ejemplo se esta dejando en unas islas o aparte los casos de usos del paciente los actores medico cabecera y especialista nos estan relacionados,estructura,0
los actores involucrados si son necesarios para el funcionamiento del sistema,actores,2
no tiene de manera ordena los casos de usos,manera,0
no se tiene herencia entre los actores medico cabecera y especialista no se aplica correctamente el la comunicacion entre el cu y cu los casos de usos del actor paciente no estan integrados al sistema,herencia,0
la estructura es correcta con actores involucrados y caso de uso relacionado,estructura,2
los actores estan bien especificados y son necesarios en el sistema,actores,2
la funcionalidad es la correcta todos los casos de uso estan completos,funcionalidad,2
no se aplica herencia entre los actores medico cabecera y especialista no hay una correcta comunicacion entre el caso registrar cita y los casos consultar cita asignar cita los casos de uso del actor paciente no estan integrados al sistema,herencia,0
la estructura hecha esta correcta mostrando los actores y los casos de uso necesarios,estructura,2
se logra visualizar todos los actores necesarios para el sistema,actores,2
cada caso de uso describe su funcionalidad correctamente,caso,2
existen comunicaciones que pueden confundir dentro del diagrama,comunicaciones,0
la estructura tiene carencia de logica,estructura,0
tiene todos los actores del caso planteado,actores,2
la mayoria de los casos de uso son incorrectos,mayoria,0
se utiliza de manera no correcta el uso de extend include y herencia,manera,0
la estructura es poco adecuada para la relacion entre actores y casos de uso,estructura,0
los actores estan especificados en el sistema y son necesarios para su desarrollo,actores,2
la funcionalidad no es correcta en algunos casos de uso los casos de uso no tienen numeracion y no estan completos,funcionalidad,0
el extend en un caso de uso no es correcto,extend,0
no existen errores de estructura,errores,2
los actores estan bien especificados,actores,2
la funcionalidad descrita no es correcta la sintaxis no esta bien especificada y faltan casos de uso,funcionalidad,0
la forma en que se usa el extend include y herencia no es de forma correcta y no justifica totalmente las funcionalidades,forma,0
la estructura es correcta se muestran todos los actores involucrados,estructura,2
los actores son los necesarios en el sistema,actores,2
los casos de usos no se encuentran numerados la funcionalidad descrita no es del todo correcta existen casos de uso que no los esta realizando ningun actor,casos,0
el uso de include no es justificado en algunos casos,uso,0
la estructura es incorrecta e ineficiente los actores y los casos de uso estan mal relacionados,estructura,0
los actores estan especificados e involucrados correctamente,actores,2
la sintaxis es inadecuada los casos de uso no estan enumerados faltan casos de uso segun las especificaciones,sintaxis,0
el include esta siendo mal utilizado el extend esta siendo mal utilizado la comunicacion no es adecuada segun los requerimientos,include,0
la estructura no es del todo adecuada,estructura,0
hay actores que no son necesarios en el sistema,actores,0
la funcionalidad descrita es la correcta no hay numeracion en los casos de usos faltan casos de usos,funcionalidad,1
el include esta siendo mal utilizado el extend esta siendo mal utilizado la comunicacion no es adecuada segun los requerimientos,include,0
la estructura es parcialmente correcta,estructura,1
se encuentran todos los actores necesario,actores,2
los casos de uso no se comprenden,casos,0
el include esta siendo mal utilizado el extend esta siendo mal utilizado la comunicacion no es adecuada segun los requerimientos,include,0
usa de forma correcta los actores y los casos de uso evitando que exista algun error en el diagrama,forma,2
todos los actores son necesarios en el diagrama y estan plasmados de forma correcta,actores,2
la funcionalidad descrita es poco adecuada el medico general no podra ver el historial sino existe primero un registro del historial de los pacientes consultando a los pacientes existentes el paciente solo podra solicitar cita no puede mostrar tratamiento validar usuario ni mostrar cita para que el medico general pueda asignar un tratamiento debe de realizar diagnostico y consultar paciente lo cual no esta implementado y hace que falten muchos casos de uso no cuenta con la numeracion de los casos de uso y dificulta su visibilidad en la prioridad de ejecucion,funcionalidad,0
utiliza la herencia de forma incorrecta donde esta no va de paciente a personal administrativo sino de medico especialista a medico general el extend lo aplica mal donde deberia estar dentro de un caso de uso que vaya a realizar operacion que lo realiza el medico especialista,herencia,0
la estructura es la correcta con actores involucrados y caso de uso relacionados,estructura,2
los actores estan bien especificados y son necesarios en el sistema,actores,2
la funcionalidad descrita es correcta en su mayoria los casos de uso no cuentan con numeraciones no todos los casos de uso estan completos,funcionalidad,1
se utiliza extend include y herencia de forma correcta en su mayoria y justificada segun el requerimiento el actor paciente esta heredando las acciones de el actor personal administrativo,extend,2
la estructura no tiene errores,estructura,2
se encuentran todos los actores que participan en el programa,actores,2
algunos casos de uso no tienen funcionalidad correcta,casos,0
modificar historial no tiene conexiones directa con el actor por tanto la comunicacion es incorrecta,conexiones,0
esta estructurado correctamente una parte del diagrama con los actores y sus casos de uso,parte,2
se encuentran todos los actores requeridos por el sistema,actores,2
algunos casos de uso transmiten correctamente su funcionalidad no se encuentran enumerados los casos de uso los casos de uso no estan completos,casos,0
mal uso en una parte de includes dentro del diagrama una mala practica de herencia,uso,0
existe la presciencia de casos de usos que no deberian estar,presciencia,0
los actores estan debidamente establecidos,actores,2
cumple con los requisitos pero hay casos de uso que no deberian estar,requisitos,1
existe buena comunicacion entre todos lo casos de uso y aplica de manera correcta el include extend y herencia,comunicacion,2
la estructura del diagrama de casos de uso es correcta,estructura,2
los actores estan bien especificados y son necesarios en el sistema,actores,2
la funcionalidad descrita en los casos de uso es correcta segun el caso de estudio los casos de uso estan escritos con un verbo en infinitivo y un objeto pero su numeracion no esta ordenada,funcionalidad,1
el extend y la herencia estan utilizados de forma correcta pero hay algunos include que invocan casos de uso que no corresponden como es el caso de cu asignar especialista que invoca a cu solicitar cita,extend,1
no existe concordancia entre los casos de uso debido a que su estructura no es la correcta,concordancia,0
los actores estan bien definidos lo cual son necesarios en el sistema debido a que todos ellos intervienen en el proceso,actores,2
existen casos de usos que no estan bien definidos debido a que algunos no cumplen con la funcionalidad del sistema por otro lado la sintaxis se encuentra correcta,casos,0
referente a la herencia entre paciente y administrador no esta bien realizada debido a que un paciente hereda lo de administrador pero un paciente no puede registrar paciente,referente,0
tienen relacion entre caso de usos y actores la comunicacion es correcta,relacion,2
los actores estan completos y son necesarios en el sistema,actores,2
si tienen numeracion en los casos de usos los casos de usos si estan bien formados con verbos y objetos pero hay casos de usos que estan de mas tambien el caso de uso registrar paciente lo hace el paciente cuando deberia hacerlo el administrativo falta el caso de uso consultar historial,numeracion,1
la herencia los includes y extends estan de forma correcta,herencia,2
todo esta muy bien de acuerdo a los requisitos colocados tanto en el diseno como la informacion puesta,acuerdo,2
todos los actores necesarios en el sistema estan colocados,actores,2
la sintaxis de los casos de uso esta muy bien y su estructura igual y por ende su funcionalidad esta correcta,sintaxis,2
si se utiliza de manera correcta todos los puntos como la herencia el include y los extend,manera,2
la estructura entre actores y casos de uso es correcta,estructura,2
cuenta con los actores necesarios para dicho sistema,actores,2
la sintaxis es correcta por parte de la numeracion en los caso de uso tambien correcta cuenta con algunos caso de uso que no se solicitan en el ejercicio como registrar medico y que el paciente no deberia registrarse a el mismo,sintaxis,1
en el caso de uso cu el medico no es el que tiene que volver a solicitar la cita si no que el paciente como se describe en el problema,caso,0
se encuentra correctamente toda la informacion y el diseno,informacion,2
si estan todos los actores que manipulan el sistema,actores,2
la estructura del caso de uso es correcto y presentan su funcionalidad correcta,estructura,2
si estan comunicado correctamente los casos de usos mediante los include y los extend,casos,2
la estructura es correcta porque contiene actores y casos de uso,estructura,2
los actores estan bien especificados y pertenecen al sistema,actores,2
la funcionalidad que se presenta es correcta la sintaxis es incorrecta ya que hay casos de uso que contienen un verbo en infinitivo y mas de un objeto ademas su numeracion se encuentra en desorden,funcionalidad,1
existen extend fuera de lugar como por ejemplo en el caso de uso actualizar tratamiento que tiene un extend hacia registrar cita e include que conectan desde un caso de uso actualizar hacia otro caso de uso actualizar,lugar,0
la estructura es correcta contiene todo lo requerido,estructura,2
los actores estan bien definidos y son necesarios para el sistema,actores,2
las funcionalidades descritas son correctas la sintaxis es la correcta,funcionalidades,2
la utilizacion de herencia esta de forma correcta la utilizacion de los include estan de forma correcta la utilizacion de la extends en algunos casos no es la correcta,utilizacion,1
no existen errores de estructura,errores,2
todos los actores son correctos,actores,2
la mayoria de los casos de uso tienen numeracion aunque un poco desordenada,mayoria,1
la comunicacion entre casos de uso y actores es incorrecta,comunicacion,0
el caso de uso tiene la estructura adecuada,caso,2
los actores se especifican correctamente,actores,2
algunos casos de uso no siguen la sintaxis adecuada,casos,0
comunicaciones correctamente aplicadas,comunicaciones,2
la estructura del diagrama de clase de uso es correcto cuenta una relacion correcta entre los actores y casos de uso,estructura,2
el diagrama de caso de uso cuenta con los actores necesarios para el sistema,diagrama,2
el diagrama de caso de uso cuenta con varios errores en su sintaxis une el verbo pero esta poniendo mas de un objeto por parte de la numeracion algunos casos no lo hace de manera correcta ya que primero coloca un caso de uso y despues un include hacia otro que necesita del anterior,diagrama,0
algunos estereotipos no estan correctos como por ejemplo el cu con cu este cuenta con un  que no hace lo que se solicita en el sistema,estereotipos,0
no se entienden bien las lineas de relacion entre algunos caso de uso y actores,lineas,0
los actores son los necesarios en el sistema,actores,2
no estan bien escrito no hace bien las consultas en cu no consulta la cita registrada en cu no consulta el paciente registrado,consultas,0
el include esta siendo mal utilizado el extend esta siendo mal utilizado,include,0
la estructura es correcta,estructura,2
los actores estan bien especificados y son necesarios en el sistema,actores,2
la sintaxis es correcta,sintaxis,2
se utilizan los includes de forma correcta,includes,2
integra una estructura correcta con actores que se manifiestan a traves de cada caso de uso relacionado,estructura,2
presenta claramente que los actores estan bien especificados y tienen coherencia con el sistema cada uno cumple su funcion en el diagrama de caso de uso,actores,2
determina su funcionalidad correctamente la representacion de la sintaxis es buena especificando el orden de cada uno de los casos de usos asignandoles su regla gramatical del verbo infinitivo mas el objetivo la representacion de los casos de usos si los encuentro completos aunque si se hubiera especificado un poco mas con la accion de la asignacion del especialista fuera mas entendible,funcionalidad,2
se muestra el uso de extend e include de manera correcta observe que hace el uso de una herencia de medico especialista hacia el medico general la cual juega el papel de adquirir todas las acciones que este realice no lo encuentro incorrecto porque el especialista debe obtener los datos del paciente como del tiramiento y otras cosas justificando los requerimientos solicitados por el ejercicio,uso,2
no existe una estructura correcta con los actores involucrados y el caso de uso relacionado lo cual no existira una funcionalidad debida en el sistema,estructura,0
los nombres de los actores estan especificados de la mejor manera pero existe un error en un caso de uso el cual no cumple con lo que se requiere en el sistema,nombres,1
la funcionalidad descrita en el diagrama de casos de uso es la correcta ya que cumple con la sintaxis adecuada y de una manera ordenada todos los casos de uso estan completos,funcionalidad,2
el diagrama de casos de usos cumple con todo lo que se requiere consta de include y de extend,diagrama,2
la estructura presentada es correcta,estructura,2
los actores son los requeridos por el sistema,actores,2
la sintaxis es correcta asi como la funcionalidad,sintaxis,2
la utilizacion de los include y extend es correcto pero no siempre justificada,utilizacion,1
la estructura se presenta de manera correcta presenta de manera ordenada los casos de uso con los actores respectivos,estructura,2
la cantidad de actores es correcta sin embargo existe un actor que esta realizando un hecho que no esta en los requerimientos,cantidad,1
la funcionalidad en ciertos casos de uso no es la especificada en los requerimientos la sintaxis por su parte esta correcta,funcionalidad,1
tanto el extend como el include y la herencia estan realizadas de manera correcta sin embargo existen algunos de estos apartados que corresponden a la justificacion dada en los requerimientos,extend,1
la estructura no tiene errores,estructura,2
los actores estan correctos,actores,2
no aplica numeracion en los casos de uso,numeracion,0
mal uso del include  extend,uso,0
la estructura esta correcta los actores y lo casos de uso estan todos bien relacionados,estructura,2
los actores son los necesarios y estan bien especificados la herencia la aplican correctamente y es necesaria,actores,2
la funcionalidad tiene ligeras carencias de algunos parametros descritos en el documento algunos casos de uso no estan bien definidos o implementados por ejemplo el cu toma como objeto al actor la sintaxis es correcta cumple con lo necesario para que se entiendan las funcionalidades descritas,funcionalidad,1
la mayoria los casos de usos esta bien conectados mediante los estereotipos de extends e include en el caso de uso cu no es correcto su comunicacion la herencia esta bien aplicada y es correcta,mayoria,1
la estructura no tiene errores,estructura,2
se encuentran todos los actores que participan en el programa,actores,2
no aplica numeracion en los casos de uso,numeracion,0
modificar historial no tiene conexiones directa con el actor,conexiones,0
la estructura no tiene errores,estructura,2
los actores estan bien especificados y son necesarios en el sistema,actores,2
la funcionalidad descrita no esta mal cometio pocos errores la sintaxis usada es la correcta,funcionalidad,1
el uso de include extends y herencia se utilizan de manera correcta en la mayoria de los casos de uso sin embargo existen errores,uso,1
la estructura se encuentra bien ya que hace buen uso de los actores y casos de uso,estructura,2
la mayoria de los actores esta bien pero el actor soporte no se encuentra especificado en los requerimientos y no es necesario para el sistema,mayoria,1
la funcionalidad no es correcta ya que el actor soporte ademas de estar incorrecto es usado como objeto y realiza acciones no descritas,funcionalidad,0
esta bien en su gran mayoria pero tiene uso de include innecesario,bien,1
diseno poco correcto hay que considerar que las relaciones entre los casos de uso no son correctas por ejemplo en el caso de uso generar tratamiento existen dos extend dirigiendose hacia varios lados que no estarian correctamente estructurados,relaciones,0
falta el actor que represente al personal no medico que siempre y cuando se requieran estaran encargados de realizar radiografias ecografias etc,actor,0
estan usando objetos que no deberian ir como es el caso de uso consultar medico medico como tal no es un objeto asi mismo faltan muchos casos de uso es decir que las funcionalidades no estan completas,objetos,0
unos casos de uso no estan utilizando correctamente el include y el extend como es el caso de generar tratamiento se debia aplicar herencia de paciente hacia administrativo ya que el administrativo y el paciente tienen la posibilidad de registrar cita y esto se representaria mejor con un solo caso de uso llamado registrar cita y que se herede dichas funcionalidades desde paciente hacia administrativo,casos,1
tienen relacion entre caso de usos y actores pero la comunicacion no es correcta,relacion,1
falta un actor que seria personal no medico,actor,0
no tiene numeracion en los casos de usos los casos de usos si estan bien formados con verbos y objetos,numeracion,1
la herencia no esta bien entre los casos de usos actualizar diagnostico y actualizar ficha_diagnostico,herencia,0
la manera en que se representa la estructura es la adecuada tanto los actores como los casos de uso,manera,2
los actores estan bien especificados sin embargo no consta con todos los actores que necesita el sistema,actores,1
la funcionalidad descrita no es del todo correcta debido a que existen requerimientos del sistema que no estan plasmados la sintaxis es la correcta y cuenta con una numeracion ordenada junto con verbos en infinitivo mas el objeto,funcionalidad,1
tanto extend include son utilizados de forma correcta sin embargo existen algunas comunicaciones que no representan del todo bien los requerimientos,extend,1
la estructura no tiene errores,estructura,2
los actores estan bien especificados y son necesarios en el sistema,actores,2
contiene una sintaxis correcta,sintaxis,2
se utilizan los extend de forma correcta,extend,2
estructura del diagrama de caso de uso correcta,estructura,2
cuenta con los actores necesarios para resolver el problema,actores,2
existen algunos caso de uso que no estan bien descritos verbo  objeto,caso,0
se aplican los include y extends correctamente,include,2
la estructura del diagrama de casos de uso es la adecuada cuenta con los actores y los casos de uso relacionados,estructura,2
los actores descritos en el diagrama de caso de uso son correctos pero falta un actor que realiza actividades adicionales,actores,1
faltan casos de usos que estan descritos en los requerimientos la funcionalidad del resto es correcta la sintaxis esta bien pero puede dar a confusion al haber mas de un sustantivo,casos,1
utiliza de forma correcta los include  sin embargo los extends no los aplica bien las veces que se ha incluido no hay herencia cuando esta es justificable por los requerimientos,forma,1
la estructura es correcta,estructura,2
los actores estan bien especificados y son necesarios en el sistema,actores,2
la sintaxis es correcta,sintaxis,2
se utilizan los includes y extend de forma correcta,includes,2
la estructura es correcta,estructura,2
los actores estan bien especificados y son necesarios en el sistema,actores,2
la funcionalidad descrita es correcta,funcionalidad,2
se utiliza extends e include de manera apropiada,extends,2
la estructura fue realizada de manera correcta ya que se hizo buen uso de los actores y casos de uso,estructura,2
los actores son correctos aunque hace falta un actor que es necesario para el sistema,actores,1
la funcionalidad no es la correcta porque no representa a los requerimientos como debe no tiene sintaxis adecuada ya que no cuenta con numeracion aunque si tiene el verbo en infinitivo mas el objeto en los casos de uso,funcionalidad,0
el extend e include estan utilizados de manera correcta pero segun los requerimientos no permitirian hacer los procesos del sistema de manera correcta y no hace uso de la herencia,extend,1
se presenta una estructura precisa con actores involucrados pero todos los casos de usos no se encuentran relacionados y afecta a simple vista entender que es lo que realiza,estructura,1
los actores que juega en el sistema estan bien especificados y son necesarios en el sistema no se encuentran ninguno sin usar,actores,2
la determinacion de la sintaxis de los con los casos de usos es la adecuada cumpliendo con lo establecido ademas concuerda con su funcion a realizar  referente a la numeracion cada uno de ellos se encuentran enumerados opino que faltan mas casos de usos para hacer mas entendible el ejercicio,determinacion,1
se utiliza extend y include de manera correcta pero faltaria relacionar mas por ejemplo el paciente debe consultar su tratamiento y su medico pero no se encuentra comunicacion entre ellos por otro lado no usa herencia en este caso,extend,1
la estructura no es correcta no tiene un diseno adecuado,estructura,0
los actores involucrados son necesarios en el sistema,actores,2
la funcionalidad es poco adecuada en cuanto a la logica la sintaxis esta correcta y ordenada no estan completos los casos de uso,funcionalidad,1
la comunicacion entre casos de uso es poco adecuada segun lo requerido,comunicacion,0
el diseno no es el correcto debido a que existe una aislamiento entre actores lo cual va a dificultar la iteracion del sistema,diseno,0
los nombres de los actores estan bien especificados los cuales son de gran ayuda para la iteracion en el sistema,nombres,2
no existe una correcta funcionalidad entre los casos de uso lo cual va afectar en el sistema ademas la sintaxis no es la correcta,funcionalidad,0
no existe una buena relacion de los include en ciertos casos de uso asi como del extend no se tiene herencia,relacion,0
no existen errores de estructura,errores,2
la mayoria de actores estan bien especificados,mayoria,2
la funcionalidad descrita no es correcta la sintaxis no esta bien especificada y faltan casos de uso,funcionalidad,0
la forma en que se usa el extend include y herencia no es de forma correcta y no justifica totalmente las funcionalidades,forma,0
no existen errores de estructura,errores,2
todos los actores involucrados son necesarios para el sistema,actores,2
la sintaxis es correcta los casos no estan completos,sintaxis,1
el extend es incoherente los includes son incoherentes la comunicacion es incorrecta y se pierden datos,extend,0
el diagrama de casos de uso contiene islas lo cual no se debe trabajar de esa manera de acuerdo a lo estudiado en el presente ciclo de clases faltan muchas funcionalidades que se han omitido,diagrama,0
los actores son los correctos y estan especificados de manera correcta,actores,2
los casos de uso estan incompletos las funcionalidades estan incompletas por la misma falencia de los casos de uso se omiten muchos casos de uso que son necesarios para el desarrollo completo del software,casos,0
no se utiliza de manera correcta el uso de include extend y herencia segun lo que se especifica en los requerimientos,manera,0
la estructura del diagrama de caso de uso es la correcta,estructura,2
hay una actor innecesario en el diagrama,actor,0
la funcionalidad no tiene coherencia no tiene numeracion los casos de usos faltan casos de usos,funcionalidad,0
algunos extend e include estan demas,extend,1
